                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                0.65788,                0.98412,                0.47028,                0.87965,                0.94162,                 0.9873,                0.97308,                0.82277,                0.93523,                0.98042,                 0.9686,                0.73015,                0.57347,                0.84942,                0.39342,                0.86282,              0.0089275,              0.0089275,              0.0089275
                     68,                0.64422,                0.96382,                0.45641,                0.88095,                0.92873,                0.92107,                0.95098,                0.78071,                0.92825,                0.92055,                  0.948,                0.67653,                0.65033,                   1.13,                0.51792,                0.89974,               0.008911,               0.008911,               0.008911
                     69,                 0.6487,                 0.9556,                0.44873,                0.88196,                0.95338,                0.97837,                0.97968,                0.82609,                0.95338,                0.97837,                0.97925,                0.73898,                0.58188,                0.85154,                0.39517,                0.86312,              0.0088945,              0.0088945,              0.0088945
                     70,                 0.6565,                0.97404,                0.45994,                0.88468,                0.94849,                0.98078,                0.97765,                 0.8235,                  0.943,                0.97534,                0.97126,                0.73011,                0.57466,                0.84219,                0.38807,                0.86277,               0.008878,               0.008878,               0.008878
                     71,                0.64004,                 0.9475,                0.44698,                0.87414,                0.94813,                0.98598,                0.97859,                0.82777,                0.94794,                0.97421,                0.97106,                0.73659,                0.56753,                0.83462,                0.37741,                0.86183,              0.0088615,              0.0088615,              0.0088615
                     72,                0.63197,                0.94762,                0.44681,                0.87757,                 0.9404,                0.98096,                0.97683,                  0.833,                0.95038,                0.96227,                 0.9719,                0.73259,                0.56772,                0.82863,                 0.3841,                0.86261,               0.008845,               0.008845,               0.008845
                     73,                0.64247,                0.94584,                0.44484,                0.88088,                0.95064,                 0.9853,                0.97851,                0.83362,                0.94887,                0.98351,                0.97664,                0.74029,                0.55769,                0.82722,                0.38149,                0.85791,              0.0088285,              0.0088285,              0.0088285
                     74,                0.63495,                0.95094,                0.44252,                0.88276,                0.95199,                0.98305,                0.97583,                0.83047,                0.94864,                0.97973,                0.97305,                0.74189,                0.56438,                0.82848,                0.37402,                0.85732,               0.008812,               0.008812,               0.008812
                     75,                0.63779,                 0.9448,                 0.4418,                0.88069,                0.95385,                0.98869,                0.97887,                0.82223,                0.95209,                 0.9869,                0.97707,                0.72528,                0.57584,                0.83381,                0.37924,                0.86393,              0.0087955,              0.0087955,              0.0087955
                     76,                 0.6447,                0.95913,                0.44532,                0.88017,                0.95025,                0.98702,                0.97637,                0.83233,                0.94956,                0.97914,                0.97274,                0.74075,                0.56533,                0.85184,                0.38508,                0.86217,               0.008779,               0.008779,               0.008779
